symbol,days,ic_1d,ic_5d,model
ADBE,183,0.07284024255813543,0.09440558849828257,finbert-legacy
ADP,184,-0.10431686583059391,-0.011455465804799428,finbert-legacy
AMGN,198,-0.00487202521748734,-0.02378180787083698,finbert-legacy
APP,140,0.20149304086234893,0.14007660550036924,finbert-legacy
ASML,177,0.0889565664248862,0.15111608197681672,finbert-legacy
AVGO,181,-0.0010623681429819344,0.16719843635459566,finbert-legacy
CHTR,193,-0.0195192787785851,-0.20370158579543027,finbert-legacy
COST,182,0.0705054241610698,-0.07581899726141916,finbert-legacy
CSCO,190,-0.1121618102856216,-0.1576382072770744,finbert-legacy
GOOG,188,0.13582281626595677,-0.044526241483118886,finbert-legacy
GOOGL,182,-0.09160018613151363,-0.07893960028279653,finbert-legacy
HON,193,-0.061805110720032405,0.06208897395934027,finbert-legacy
INTC,188,0.11523246438257902,0.11567604238731156,finbert-legacy
INTU,192,-0.09362649826296833,0.007043032192319328,finbert-legacy
LIN,162,0.021461443128799933,0.024179192517928615,finbert-legacy
LRCX,191,-0.006100287698281093,-0.07051358303764357,finbert-legacy
NFLX,164,0.017196800986954076,0.03984417790311788,finbert-legacy
NVDA,202,0.07778257508128622,0.04092008436391148,finbert-legacy
PEP,177,-0.0872216337241245,0.08747219553101071,finbert-legacy
QCOM,188,0.03289158663189001,-0.05237387401268097,finbert-legacy
SBUX,182,-0.03352581987069925,0.03148338349440641,finbert-legacy
TMUS,190,0.023419352510357552,-0.0187216386490535,finbert-legacy
TXN,163,-0.003985108172780127,0.11723069981735483,finbert-legacy
VRTX,188,-0.0049708928601938625,-0.043152368222005646,finbert-legacy
ADBE,183,0.1135576825170553,0.08164803834796708,finbert
ADP,184,-0.06341623162720811,-0.023848509949721635,finbert
AMGN,198,-0.09652031987427742,-0.09370049312201613,finbert
APP,140,0.1654809270309172,0.17099141828465567,finbert
ASML,177,0.07980081716036773,0.12519260400616333,finbert
AVGO,181,0.002910165341104567,0.13262704146682047,finbert
CHTR,193,-0.0725255969136126,-0.17983253244098163,finbert
COST,182,0.027502883856475015,-0.05480173300117145,finbert
CSCO,190,-0.06086072986162753,-0.11241104506466867,finbert
GOOG,188,0.10887707758796618,-0.010299671125703664,finbert
GOOGL,182,-0.09457755359394704,-0.10526499132603652,finbert
HON,193,-0.04563810595308889,0.061877396154973466,finbert
INTC,188,0.1035060526172127,0.10184808933244477,finbert
INTU,192,-0.03830739762236429,0.02875513249868542,finbert
LIN,162,0.06019814835729152,0.10208592074075877,finbert
LRCX,191,-0.0004142002662617551,-0.050489158935985004,finbert
NFLX,164,0.05146028593582087,0.16000435297158325,finbert
NVDA,202,0.07681948255115197,-0.00527553131122867,finbert
PEP,177,-0.0975009089177819,0.06578617059953948,finbert
QCOM,188,0.044712295813627914,0.0027794495913227653,finbert
SBUX,182,0.047094197352326145,0.035680196988049535,finbert
TMUS,190,-0.006178622822326322,0.0058619498134516055,finbert
TXN,163,-0.01623799469078535,0.08998232109110457,finbert
VRTX,188,0.006337286687724734,-0.043190712777696504,finbert
ADBE,183,0.04593203610443592,-0.010972429740319388,finbert-tone
ADP,184,-0.10390947461455273,0.033320697250110026,finbert-tone
AMGN,198,-0.16127766603796617,-0.1511603058363152,finbert-tone
APP,140,0.2222084865866131,0.11455966198600342,finbert-tone
ASML,177,0.08846318104679368,0.15226450340098735,finbert-tone
AVGO,181,0.0034505860194128297,0.10137629181321622,finbert-tone
CHTR,193,-0.01591417000062366,-0.23265477970589638,finbert-tone
COST,182,-0.08500159168415014,-0.10484926872797655,finbert-tone
CSCO,190,-0.0060868210660488704,-0.07934055264972911,finbert-tone
GOOG,188,0.040655356568961354,-0.09344689660085861,finbert-tone
GOOGL,182,-0.09336009709173564,-0.035861481569915664,finbert-tone
HON,193,-0.010185746851794433,0.009770870914624969,finbert-tone
INTC,188,0.14916593353746146,0.09904799220316839,finbert-tone
INTU,192,-0.08888590048816368,-0.10244565874705712,finbert-tone
LIN,162,-0.0421037157230006,-0.024569564057888404,finbert-tone
LRCX,191,-0.021224320265723504,-0.027543386075831153,finbert-tone
NFLX,164,0.10302247489345848,0.15742741865107682,finbert-tone
NVDA,202,0.10209776707643065,0.06812883968031005,finbert-tone
PEP,177,-0.12705851857222134,0.0057580141438535746,finbert-tone
QCOM,188,0.1324289236641905,0.04350554392909682,finbert-tone
SBUX,182,0.011582832239271465,0.05728582839520703,finbert-tone
TMUS,190,0.0955177064253464,0.05144735654713438,finbert-tone
TXN,163,0.050207472510723584,0.09582111459938936,finbert-tone
VRTX,188,-0.03483912063734055,-0.06801316615431625,finbert-tone
ADBE,183,0.08849756800576473,0.02053488208156776,distilroberta-news
ADP,184,-0.045366151072193675,-0.007941484407436026,distilroberta-news
AMGN,198,-0.1030906398836582,-0.15722389293035868,distilroberta-news
APP,140,0.11830062572509938,0.16956131460213786,distilroberta-news
ASML,177,0.1375300808504008,0.15688353733487997,distilroberta-news
AVGO,181,0.020041284682168654,0.08481978426729807,distilroberta-news
CHTR,193,0.014610949866158423,-0.14348794070833368,distilroberta-news
COST,182,0.019448986843244608,-0.1186496684187111,distilroberta-news
CSCO,190,-0.04049129826805545,-0.09765338302125298,distilroberta-news
GOOG,188,0.10185987438297572,-0.03643806039930352,distilroberta-news
GOOGL,182,-0.10210394623038405,-0.06407983828507331,distilroberta-news
HON,193,-0.022603293093317663,0.056125140216868756,distilroberta-news
INTC,188,0.08307646601744458,0.08791472746416425,distilroberta-news
INTU,192,-0.07453954275779516,-0.03001316954550291,distilroberta-news
LIN,162,-0.03292028903695273,0.033795303150084464,distilroberta-news
LRCX,191,-0.01128244121652609,-0.03984832234475933,distilroberta-news
NFLX,164,0.03018785792988995,0.1313645205609892,distilroberta-news
NVDA,202,0.035293706563509816,0.06507750415756995,distilroberta-news
PEP,177,-0.13445923720157202,0.028195928048337118,distilroberta-news
QCOM,188,0.11999407628414525,-0.013366287013071037,distilroberta-news
SBUX,182,0.1352830435624447,0.1002567355126698,distilroberta-news
TMUS,190,0.08675178347264323,0.029930848062564793,distilroberta-news
TXN,163,0.06366069795667283,0.13379165488996403,distilroberta-news
VRTX,188,-0.00850630387551539,-0.04620674833440791,distilroberta-news
ADBE,183,0.11710776749978463,0.09567214681256021,twitter-roberta
ADP,184,-0.0926855579742251,-0.03162335535820924,twitter-roberta
AMGN,198,-0.16563854041531387,-0.1527684429851739,twitter-roberta
APP,140,0.12673692543022755,0.1999739782358658,twitter-roberta
ASML,177,0.11565545956614326,0.10398019424871455,twitter-roberta
AVGO,181,0.07742294537874647,0.04376783437556917,twitter-roberta
CHTR,193,0.0002904494705557861,-0.12117835684058628,twitter-roberta
COST,182,-0.04230286514499901,-0.10412836868773831,twitter-roberta
CSCO,190,-0.005812964266235195,-0.028839113490532618,twitter-roberta
GOOG,188,0.04249359318195362,-0.021231445511795947,twitter-roberta
GOOGL,182,-0.1016043100093458,0.004696779536015112,twitter-roberta
HON,193,-0.054075303135516256,-0.05726523689973826,twitter-roberta
INTC,188,0.046636599608010254,0.12591496946941252,twitter-roberta
INTU,192,0.017254774966929336,-0.06849689581054781,twitter-roberta
LIN,162,-0.024858868691455264,0.01069210793723544,twitter-roberta
LRCX,191,-0.012114281384137985,-0.042256856448810484,twitter-roberta
NFLX,164,0.10634853699345694,0.06453280372179068,twitter-roberta
NVDA,202,-0.02321975451717659,0.052952590466411584,twitter-roberta
PEP,177,-0.13991923616280882,-0.017845085784525892,twitter-roberta
QCOM,188,0.15937226699874796,0.057602693122312934,twitter-roberta
SBUX,182,0.06267448700199357,0.005194425174499443,twitter-roberta
TMUS,190,0.062084530698473944,0.045897466178535344,twitter-roberta
TXN,163,-0.008470912929988196,0.07280773216730121,twitter-roberta
VRTX,188,0.0494991033163749,-0.022510100107096347,twitter-roberta
