expert,band,mode,strategy,status,n_strats_in_cell,opt_id,genes,population,generations,robust_fitness,best_fitness,rank_fitness,top_rank_persisted,top_bt_id,top_ga_matched,top_profit,top_car,top_max_dd,top_calmar,top_trades,top_win_rate,top_cap_avg_pct,top_top1_pct,top_top5_pct,top_best_year_share,top_y2020_share,top_y2022_share,top_neg_years,rank_car_top,rank_calmar_top,best_car_any_topn,rank_car_best_topn,in_top5_fitness,in_top5_car,in_top3_fitness,in_top3_car,persisted_ranks,n_rows_matched,n_rows_mismatch,n_rows_unmatched
DeterministicScorer,large,notional,S1,ok,6,349,68,140,8,True,4.734,4,1,1015,True,16454.85,17.62,-18.61,0.95,340,56.76,66.7981,9.9186,35.8805,32.6983,23.4286,2.6548,0,1,4,17.62,2,True,True,False,True,"1,2,3,4,5",5,0,0
DeterministicScorer,large,notional,S2,ok,6,350,53,60,8,True,5.6012,3,1,1018,True,13453.29,15.28,-13.64,1.12,636,29.72,48.3886,7.4926,29.4921,29.5342,10.2255,2.069,0,3,3,22.03,1,True,True,True,True,"1,2,3,4,5",3,2,0
DeterministicScorer,large,notional,S3,ok,6,351,49,60,8,True,4.1095,5,1,1023,True,6977.8,9.23,-11.23,0.82,638,25.24,38.2701,6.1782,29.5405,34.7352,28.022,-9.1225,1,5,5,16.54,4,True,True,False,False,"1,2,3,4,5",5,0,0
DeterministicScorer,large,notional,S5,ok,6,407,54,60,8,True,6.42,2,1,1221,True,14113.15,15.82,-10.9,1.45,238,50.0,38.0481,9.9401,44.7065,29.4325,25.0441,-4.0518,1,2,2,15.82,5,True,True,True,True,"1,2,3,4,5",5,0,0
DeterministicScorer,large,notional,S6,ok,6,412,44,60,8,True,7.4068,1,1,1225,True,13219.82,15.09,-9.89,1.53,188,60.11,30.7071,9.4116,29.5149,31.5655,15.8995,-1.6355,1,4,1,17.54,3,True,True,True,False,"1,2,3,4,5",5,0,0
DeterministicScorer,large,notional,S7,ok,6,413,48,60,8,True,4.03,6,1,1233,True,5918.19,8.06,-9.87,0.82,316,43.04,31.7039,5.5911,25.7284,35.131,3.6024,-9.1284,1,6,6,8.45,6,False,False,False,False,"1,2,3,4,5",5,0,0
DeterministicScorer,large,risk_atr,S1,ok,6,334,68,140,8,True,5.7361,2,1,968,True,9444.6,11.73,-8.86,1.32,271,63.1,33.9835,10.3503,28.9497,35.6298,28.1763,-7.891,1,4,2,15.77,2,True,True,True,False,"1,2,3,4,5",5,0,0
DeterministicScorer,large,risk_atr,S2,ok,6,335,53,40,8,True,4.8396,3,1,973,True,10352.01,12.59,-12.89,0.98,705,36.17,41.8281,5.6365,25.2544,31.8973,22.8124,-8.4016,1,3,3,12.85,4,True,True,True,True,"1,2,3,4,5",5,0,0
DeterministicScorer,large,risk_atr,S3,ok,6,336,49,40,8,True,4.2058,4,1,985,True,6459.57,8.67,-13.25,0.65,465,78.06,42.1781,8.8417,39.3412,23.5183,9.396,9.0672,0,5,6,9.85,6,True,True,False,False,"1,2,3,4,5",5,0,0
DeterministicScorer,large,risk_atr,S5,ok,6,371,54,60,8,True,3.8017,6,1,1093,True,6109.57,8.28,-10.89,0.76,583,26.24,33.9879,8.0088,33.2788,29.9309,23.0302,-12.2371,1,6,5,10.74,5,False,False,False,False,"1,2,3,4,5",5,0,0
