variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
L-sma200-rsi2<5-sma5,L,sma200,2,5,sma5,IS,975,0.6461538461538462,0.0027614798317199462,1.21512946872706,4.844102564102564,0.13025641025641024,0.08166982951964563,-0.08904867102993463,0.7593136724686358,0.4126984126984127,0.5641367456420479
L-sma200-rsi2<5-sma5,L,sma200,2,5,sma5,OOS,1312,0.6532012195121951,0.0068601636671527045,1.655243634272606,5.240091463414634,0.07240853658536585,0.2233005504407688,-0.09604467921774618,1.4955898325464938,0.39899665551839464,0.5673282996358537
L-sma200-rsi2<5-rsi,L,sma200,2,5,rsi,IS,963,0.6531671858774662,0.0034591969921928646,1.2292369414891855,6.257528556593977,0.16510903426791276,0.03790986865225476,-0.14433836224805374,0.3623746709046692,0.4710317460317461,0.6051243167715484
L-sma200-rsi2<5-rsi,L,sma200,2,5,rsi,OOS,1281,0.6799375487900078,0.006431582851585681,1.50422003214936,6.683060109289618,0.09914129586260734,0.19366500728897895,-0.13393802986901626,1.3648677424747597,0.47591973244147157,0.6293025790476126
L-sma200-rsi2<5-chan,L,sma200,2,5,chan,IS,941,0.5781083953241233,0.0015709310033794831,1.0751513523310836,9.597236981934113,0.22422954303931988,0.01081736058556415,-0.20243306666408667,0.146744749773084,0.5894179894179894,0.6783636890782312
L-sma200-rsi2<5-chan,L,sma200,2,5,chan,OOS,1249,0.6277021617293835,0.0097661331897479,1.5736903263274933,10.056044835868695,0.14011208967173738,0.21278043944095382,-0.17167324585801635,1.358754318536036,0.6337792642140468,0.670360416680581
L-sma200-rsi2<5-sma5+choch,L,sma200,2,5,sma5+choch,IS,1011,0.6231454005934718,0.00212415399255181,1.1761357606984018,4.183976261127596,0.10682492581602374,0.07531642892809343,-0.09033599249032498,0.7523153031958175,0.3955026455026455,0.5156677018759978
L-sma200-rsi2<5-sma5+choch,L,sma200,2,5,sma5+choch,OOS,1381,0.6314265025343954,0.005900544685394828,1.626671036654644,4.3982621288921075,0.056480811006517015,0.20733558697421817,-0.07473674638788885,1.5609218973751193,0.3674470457079153,0.5706315061133034
L-sma200-rsi2<5-time5,L,sma200,2,5,time5,IS,996,0.5291164658634538,0.0020143119679407267,1.1255569493586581,6.779116465863454,0.10642570281124498,0.013741121165930181,-0.17456921176509077,0.16999295878945112,0.5011904761904762,0.612289025193641
L-sma200-rsi2<5-time5,L,sma200,2,5,time5,OOS,1325,0.5675471698113208,0.007799846341076762,1.5830634357295414,7.060377358490566,0.052830188679245285,0.23644015495983695,-0.10412155701269776,1.6013446536621745,0.5193979933110368,0.6431116975576527
